x,kT,Q2,flavor,flavor_index,nrep,collins_mean,collins_std
0.01,0.01,4.0,fav,1,50,8.211511779145545e-05,0.00021862944135919927
0.01,0.01,4.0,unf,3,50,-0.01408381212619152,0.03061014686009364
0.01,0.03,4.0,fav,1,50,8.211505208854159e-05,0.0002186292813973965
0.01,0.03,4.0,unf,3,50,-0.014083789775089879,0.030610091773280376
0.01,0.05,4.0,fav,1,50,8.211492068289744e-05,0.0002186289614742217
0.01,0.05,4.0,unf,3,50,-0.0140837450729975,0.030609981599956336
0.01,0.06999999999999999,4.0,fav,1,50,8.211472357489006e-05,0.00021862848159053574
0.01,0.06999999999999999,4.0,unf,3,50,-0.014083678020136239,0.030609816340726483
0.01,0.09,4.0,fav,1,50,8.211446076506996e-05,0.00021862784174763057
0.01,0.09,4.0,unf,3,50,-0.014083588616838833,0.03060959599649824
0.01,0.11,4.0,fav,1,50,8.211413225417124e-05,0.00021862704194722826
0.01,0.11,4.0,unf,3,50,-0.014083476863548968,0.030609320568481528
0.01,0.13,4.0,fav,1,50,8.211373804311157e-05,0.00021862608219148165
0.01,0.13,4.0,unf,3,50,-0.014083342760821198,0.030608990058188682
0.01,0.15000000000000002,4.0,fav,1,50,8.211327813299194e-05,0.00021862496248297407
0.01,0.15000000000000002,4.0,unf,3,50,-0.014083186309321025,0.030608604467434505
0.01,0.17,4.0,fav,1,50,8.211275252509713e-05,0.0002186236828247193
0.01,0.17,4.0,unf,3,50,-0.014083007509824823,0.030608163798336214
0.01,0.19,4.0,fav,1,50,8.211216122089509e-05,0.00021862224322016164
0.01,0.19,4.0,unf,3,50,-0.014082806363219872,0.03060766805331342
0.01,0.21000000000000002,4.0,fav,1,50,8.21115042220375e-05,0.00021862064367317598
0.01,0.21000000000000002,4.0,unf,3,50,-0.01408258287050433,0.030607117235088143
0.01,0.23,4.0,fav,1,50,8.211078153035946e-05,0.00021861888418806756
0.01,0.23,4.0,unf,3,50,-0.01408233703278722,0.030606511346684746
0.01,0.25,4.0,fav,1,50,8.210999314787944e-05,0.000218616964769572
0.01,0.25,4.0,unf,3,50,-0.01408206885128847,0.030605850391429896
0.01,0.27,4.0,fav,1,50,8.210913907679958e-05,0.0002186148854228553
0.01,0.27,4.0,unf,3,50,-0.014081778327338817,0.030605134372952612
0.01,0.29000000000000004,4.0,fav,1,50,8.210821931950527e-05,0.00021861264615351402
0.01,0.29000000000000004,4.0,unf,3,50,-0.014081465462379882,0.03060436329518412
0.01,0.31,4.0,fav,1,50,8.210723387856536e-05,0.00021861024696757494
0.01,0.31,4.0,unf,3,50,-0.01408113025796411,0.030603537162357922
0.01,0.33,4.0,fav,1,50,8.210618275673225e-05,0.00021860768787149504
0.01,0.33,4.0,unf,3,50,-0.014080772715754752,0.030602655979009668
0.01,0.35000000000000003,4.0,fav,1,50,8.210506595694158e-05,0.00021860496887216174
0.01,0.35000000000000003,4.0,unf,3,50,-0.014080392837525884,0.030601719749977187
0.01,0.37,4.0,fav,1,50,8.210388348231252e-05,0.00021860208997689248
0.01,0.37,4.0,unf,3,50,-0.014079990625162351,0.030600728480400397
0.01,0.39,4.0,fav,1,50,8.210263533614755e-05,0.0002185990511934351
0.01,0.39,4.0,unf,3,50,-0.01407956608065981,0.030599682175721264
0.01,0.41000000000000003,4.0,fav,1,50,8.210132152193248e-05,0.0002185958525299674
0.01,0.41000000000000003,4.0,unf,3,50,-0.014079119206124636,0.030598580841683792
